ForecastDate,Dataset,PublishTime,FuelType,NgcBmUnit,BmUnit,OutputUsable
2026-06-28,FOU2T14D,2026-06-26T15:00:00Z,OCGT,,,1156
2026-06-28,FOU2T14D,2026-06-26T15:00:00Z,OTHER,,,2545
2026-06-28,FOU2T14D,2026-06-26T15:00:00Z,PS,,,1530
2026-06-28,FOU2T14D,2026-06-26T15:00:00Z,WIND,,,10824
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,WIND,,,4641
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,PS,,,1530
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,OTHER,,,2545
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,OCGT,,,1228
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,NUCLEAR,,,3058
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,NPSHYD,,,873
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTVKL,,,1400
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTNSL,,,1400
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTNEM,,,1046
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTNED,,,1000
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTIRL,,,500
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTGRNL,,,0
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTFR,,,2000
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTEW,,,500
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,INTELEC,,,1000
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,COAL,,,0
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,CCGT,,,19372
2026-06-29,FOU2T14D,2026-06-26T15:00:00Z,BIOMASS,,,2109
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,BIOMASS,,,2109
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,CCGT,,,19697
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,COAL,,,0
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTELEC,,,1000
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTEW,,,500
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTFR,,,2000
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTGRNL,,,0
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTIRL,,,500
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTNED,,,1000
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTNEM,,,1046
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTNSL,,,1400
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,INTVKL,,,1400
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,NPSHYD,,,873
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,NUCLEAR,,,3058
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,OCGT,,,1228
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,OTHER,,,2546
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,PS,,,1530
2026-06-30,FOU2T14D,2026-06-26T15:00:00Z,WIND,,,1717
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,WIND,,,8552
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,PS,,,1530
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,OTHER,,,2546
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,OCGT,,,1228
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,NUCLEAR,,,3058
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,NPSHYD,,,888
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTVKL,,,1400
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTNSL,,,1400
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTNEM,,,1046
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTNED,,,1000
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTIRL,,,500
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTIFA2,,,1000
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTGRNL,,,0
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTFR,,,2000
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTEW,,,500
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,INTELEC,,,1000
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,COAL,,,0
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,CCGT,,,18632
2026-07-01,FOU2T14D,2026-06-26T15:00:00Z,BIOMASS,,,2242
2026-07-02,FOU2T14D,2026-06-26T15:00:00Z,WIND,,,6550
2026-07-02,FOU2T14D,2026-06-26T15:00:00Z,PS,,,1620
