Dataset,PublishTime,Year,Week,Demand
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
NDFW,2026-06-25T13:45:00Z,2026,39,32030
NDFW,2026-06-25T13:45:00Z,2026,40,32851
NDFW,2026-06-25T13:45:00Z,2026,41,33860
NDFW,2026-06-25T13:45:00Z,2026,42,34944
NDFW,2026-06-25T13:45:00Z,2026,43,36149
NDFW,2026-06-25T13:45:00Z,2026,44,37539
NDFW,2026-06-25T13:45:00Z,2026,45,38427
NDFW,2026-06-25T13:45:00Z,2026,46,39337
NDFW,2026-06-25T13:45:00Z,2026,47,40198
NDFW,2026-06-25T13:45:00Z,2026,48,40974
NDFW,2026-06-25T13:45:00Z,2026,49,41637
NDFW,2026-06-25T13:45:00Z,2026,50,42155
NDFW,2026-06-25T13:45:00Z,2026,51,42529
NDFW,2026-06-25T13:45:00Z,2026,52,42719
NDFW,2026-06-25T13:45:00Z,2026,53,37612
NDFW,2026-06-25T13:45:00Z,2027,1,42976
NDFW,2026-06-25T13:45:00Z,2027,2,42945
NDFW,2026-06-25T13:45:00Z,2027,3,42807
NDFW,2026-06-25T13:45:00Z,2027,4,42442
NDFW,2026-06-25T13:45:00Z,2027,5,41927
NDFW,2026-06-25T13:45:00Z,2027,6,41298
NDFW,2026-06-25T13:45:00Z,2027,7,40583
NDFW,2026-06-25T13:45:00Z,2027,8,39806
NDFW,2026-06-25T13:45:00Z,2027,9,38966
NDFW,2026-06-25T13:45:00Z,2027,10,38039
NDFW,2026-06-25T13:45:00Z,2027,11,37039
NDFW,2026-06-25T13:45:00Z,2027,12,36015
NDFW,2026-06-25T13:45:00Z,2027,13,34193
NDFW,2026-06-25T13:45:00Z,2027,14,33515
NDFW,2026-06-25T13:45:00Z,2027,15,32606
NDFW,2026-06-25T13:45:00Z,2027,16,31736
NDFW,2026-06-25T13:45:00Z,2027,17,30905
NDFW,2026-06-25T13:45:00Z,2027,18,29905
NDFW,2026-06-25T13:45:00Z,2027,19,29396
NDFW,2026-06-25T13:45:00Z,2027,20,28762
NDFW,2026-06-25T13:45:00Z,2027,21,28248
NDFW,2026-06-25T13:45:00Z,2027,22,27818
NDFW,2026-06-25T13:45:00Z,2027,23,27700
NDFW,2026-06-25T13:45:00Z,2027,24,27685
NDFW,2026-06-25T13:45:00Z,2027,25,27793
NDFW,2026-06-25T13:45:00Z,2026,28,28580
NDFW,2026-06-25T13:45:00Z,2026,29,28630
NDFW,2026-06-25T13:45:00Z,2026,30,28460
NDFW,2026-06-25T13:45:00Z,2026,31,28310
NDFW,2026-06-25T13:45:00Z,2026,32,28300
NDFW,2026-06-25T13:45:00Z,2026,33,28480
NDFW,2026-06-25T13:45:00Z,2026,34,28780
NDFW,2026-06-25T13:45:00Z,2026,35,29050
NDFW,2026-06-25T13:45:00Z,2026,36,30510
NDFW,2026-06-25T13:45:00Z,2026,37,30940
NDFW,2026-06-25T13:45:00Z,2026,38,31390
