Dataset,PublishTime,ForecastDate,Surplus
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
OCNMFD,2026-06-26T14:11:00Z,2026-06-28,7845
OCNMFD,2026-06-26T14:11:00Z,2026-06-29,2257
OCNMFD,2026-06-26T14:11:00Z,2026-06-30,-311
OCNMFD,2026-06-26T14:11:00Z,2026-07-01,4741
OCNMFD,2026-06-26T14:11:00Z,2026-07-02,2699
OCNMFD,2026-06-26T14:11:00Z,2026-07-03,5927
OCNMFD,2026-06-26T14:11:00Z,2026-07-04,9708
OCNMFD,2026-06-26T14:11:00Z,2026-07-05,9677
OCNMFD,2026-06-26T14:11:00Z,2026-07-06,7463
OCNMFD,2026-06-26T14:11:00Z,2026-07-07,7364
OCNMFD,2026-06-26T14:11:00Z,2026-07-08,6701
OCNMFD,2026-06-26T14:11:00Z,2026-07-09,6206
OCNMFD,2026-06-26T14:11:00Z,2026-07-10,6823
