Dataset,SettlementDate,SettlementPeriod,Time,Rate1,Elbow2,Rate2,Elbow3,Rate3,NationalGridBmUnit,BmUnit
RDRI,2026-02-03,32,2026-02-03T15:31:00Z,999.0,,,,,TEBWB-1,T_TEBWB-1
RDRI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,POTES-1,E_POTES-1
RDRI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,FFSE01,2__FCMRO002
RDRI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,FFSE02,2__FCMRO003
RDRI,2026-02-03,32,2026-02-03T15:30:00Z,999.0,,,,,BFSE03,2__BCMRO002
RDRI,2026-02-02,27,2026-02-02T13:13:00Z,50.0,,,,,BLPFB-1,T_BLPFB-1
RDRI,2026-02-10,25,2026-02-10T12:00:00Z,10.0,,,,,KILSD-1,T_KILSD-1
RDRI,2026-02-10,23,2026-02-10T11:13:00Z,20.0,,,,,AG-GEDF05,2__GLOND005
RDRI,2026-02-09,31,2026-02-09T15:13:00Z,57.0,,,,,CAPNB-1,T_CAPNB-1
RDRI,2026-02-06,25,2026-02-06T12:21:00Z,0.2,,,,,PGPET-1,E_PGPETE
RDRI,2026-02-17,23,2026-02-17T11:05:00Z,0.9,,,,,AG-GFLX06,2__GFLEX006
RDRI,2026-02-17,20,2026-02-17T09:59:00Z,0.9,,,,,AG-GFLX06,2__GFLEX006
RDRI,2026-02-24,33,2026-02-24T16:06:00Z,49.0,,,,,AG-HAB01J,V__JHABI009
RDRI,2026-03-05,23,2026-03-05T11:00:00Z,0.9,,,,,AG-GFLX07,2__GFLEX007
RDRI,2026-03-17,34,2026-03-17T16:32:00Z,49.9,,,,,BRETB-2,E_BRETB-2
RDRI,2026-03-17,24,2026-03-17T11:43:00Z,9.0,,,,,AG-HAB03P,V__PHABI015
RDRI,2026-03-17,24,2026-03-17T11:37:00Z,49.9,,,,,BRETB-2,E_BRETB-2
RDRI,2026-03-17,24,2026-03-17T11:36:00Z,20.0,,,,,AG-HAB01B,V__BHABI013
RDRI,2026-03-17,24,2026-03-17T11:35:00Z,9.0,,,,,AG-HAB01B,V__BHABI013
RDRI,2026-03-17,24,2026-03-17T11:31:00Z,49.0,,,,,AG-HAB02B,V__BHABI012
RDRI,2026-03-17,23,2026-03-17T11:26:00Z,18.0,,,,,AG-HAB01D,V__GHABI016
RDRI,2026-03-17,23,2026-03-17T11:18:00Z,17.0,,,,,AG-HAB01F,V__FHABI014
RDRI,2026-03-17,23,2026-03-17T11:05:00Z,999.0,,,,,AG-FLX06M,V__MFLEX001
RDRI,2026-03-23,31,2026-03-23T15:29:00Z,2.0,,,,,AG-GBL0EN,V__NGBLO014
RDRI,2026-03-23,27,2026-03-23T13:14:00Z,2.0,-2.0,0.2,-3.0,0.2,AG-GBL0CE,V__EGBLO012
RDRI,2026-03-23,27,2026-03-23T13:11:00Z,1.0,-1.0,0.2,-2.0,0.2,AG-GBL0CE,V__EGBLO012
RDRI,2026-03-20,24,2026-03-20T11:42:00Z,49.9,,,,,WOLVB-1,E_WOLVB-1
RDRI,2026-03-19,23,2026-03-19T11:15:00Z,30.0,,,,,NTAWB-1,E_NTAWB-1
RDRI,2026-04-13,32,2026-04-13T14:50:00Z,49.9,,,,,WOLVB-1,E_WOLVB-1
RDRI,2026-04-13,32,2026-04-13T14:49:00Z,49.9,,,,,BRETB-2,E_BRETB-2
RDRI,2026-04-13,32,2026-04-13T14:48:00Z,49.9,,,,,BERKB-2,E_BERKB-2
RDRI,2026-04-17,19,2026-04-17T08:18:00Z,999.0,,,,,NTRVB-1,T_NTRVB-1
RDRI,2026-04-28,31,2026-04-28T14:08:00Z,49.0,,,,,AG-HEL0EP,V__PHABI006
RDRI,2026-04-28,30,2026-04-28T13:56:00Z,49.0,,,,,AG-HAB01P,V__PHABI010
RDRI,2026-05-07,25,2026-05-07T11:00:00Z,10.0,,,,,MNFRB-3,
RDRI,2026-05-19,32,2026-05-19T14:44:00Z,999.0,,,,,COALB-4,T_COALB-4
RDRI,2026-05-19,32,2026-05-19T14:43:00Z,999.0,,,,,COALB-5,T_COALB-5
RDRI,2026-05-19,32,2026-05-19T14:34:00Z,999.0,,,,,COALB-2,T_COALB-2
RDRI,2026-05-19,32,2026-05-19T14:32:00Z,999.0,,,,,COALB-3,T_COALB-3
RDRI,2026-05-19,31,2026-05-19T14:15:00Z,999.0,,,,,COALB-1,T_COALB-1
RDRI,2026-05-22,21,2026-05-22T09:05:00Z,999.0,,,,,BROXB-1,E_BROXB-1
RDRI,2026-05-21,34,2026-05-21T15:58:00Z,999.0,,,,,AG-OPT01N,V__NOPTI001
RDRI,2026-05-21,28,2026-05-21T12:40:00Z,100.0,,,,,VKNGW-4,T_VKNGW-4
RDRI,2026-05-21,28,2026-05-21T12:39:00Z,100.0,,,,,VKNGW-3,T_VKNGW-3
RDRI,2026-05-21,28,2026-05-21T12:38:00Z,100.0,,,,,VKNGW-1,T_VKNGW-1
RDRI,2026-05-21,28,2026-05-21T12:38:00Z,100.0,,,,,VKNGW-2,T_VKNGW-2
RDRI,2026-06-02,25,2026-06-02T11:27:00Z,30.0,,,,,BURWB-3,E_BURWB-3
RDRI,2026-06-05,29,2026-06-05T13:00:00Z,30.0,,,,,BURWB-3,E_BURWB-3
RDRI,2026-06-12,22,2026-06-12T09:38:00Z,999.0,,,,,CATHB-1,E_CATHB-1
RDRI,2026-06-25,19,2026-06-25T08:03:00Z,999.0,,,,,AG-OPT01N,V__NOPTI001
